ciudad,periodoDia,per_rama1,per_secemp,per_condact,per_desempleo,per_empleo,per_estrato,per_fexp,per_grupo1,per_ingpc,per_ingrl,per_nnivins,per_p10a,per_p11,per_p12a,per_p42,per_p422,per_p43,per_p44a,per_p44b,per_p44c,per_p44d,per_p44e,per_p44f,per_p44g,per_p44h,per_p44i,per_p44j,per_p44k,per_p50,per_p51a,per_p51b,per_periodo.1,con_estrato,con_c01,con_c03,con_c07,con_c09,con_c11,con_c13,con_c18,con_c20a,viv_vi02,viv_vi03a,viv_vi03b,viv_vi04a,viv_vi04b,viv_vi05a,viv_vi05b,viv_vi06,viv_vi07,viv_vi07b,viv_vi08,viv_vi09,viv_vi10,viv_vi10a,viv_vi11,viv_vi12,viv_vi13,viv_vi14
20554,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0
30150,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0
30151,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30153,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,5.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0
30154,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30158,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30250,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0
30252,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
30350,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,4.0
30352,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30355,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0
30357,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
30361,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30362,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30650,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30651,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,5.0,2.0,3.0,2.0,5.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0
30550,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
30450,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0
30750,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,7.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0
40250,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40252,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
40254,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40350,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40352,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40353,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
40450,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
40451,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0
40550,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
40650,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
40150,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
40153,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0
40154,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,6.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0
40161,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60250,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
60254,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60256,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60259,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0
60450,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
60553,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60350,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60354,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61050,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60650,20251001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
